id,title,provider,department,description,level,duration,students,rating,url,tags
13,Financial Management Risk and Return For Securities,Udemy,Business Finance,Course: Financial Management Risk and Return For Securities. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,3607,5,https://www.udemy.com/risk-and-return-finance/,[]
14,Forex Trading Course: Work Smarter Not Harder Proven Results,Udemy,Business Finance,Course: Forex Trading Course: Work Smarter Not Harder Proven Results. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,4061,5,https://www.udemy.com/the-complete-trading-course/,[]
15,Python Algo Trading: Sentiment Trading with News,Udemy,Business Finance,Course: Python Algo Trading: Sentiment Trading with News. Category: Business Finance. Level: All Levels. Duration: 7 hours.,All Levels,7 hours,294,5,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,[]
16,Short Selling: Learn To Sell Stocks Before The Fall,Udemy,Business Finance,Course: Short Selling: Learn To Sell Stocks Before The Fall. Category: Business Finance. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,2276,5,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,[]
17,Basic Technical Analysis: Learn the structure of the market,Udemy,Business Finance,Course: Basic Technical Analysis: Learn the structure of the market. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,4919,5,https://www.udemy.com/learn-basic-technical-analysis/,[]
18,The Complete Chart Pattern Trading Course: A Proven Approach,Udemy,Business Finance,Course: The Complete Chart Pattern Trading Course: A Proven Approach. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,2666,5,https://www.udemy.com/make-money-trading-stocks-from-home/,[]
19,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Udemy,Business Finance,Course: 7 Deadly Mistakes of Investing that Will Slash Your Profits!. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,5354,5,https://www.udemy.com/7-deadly-mistakes-of-investing/,[]
20,Financial Statements Made Easy,Udemy,Business Finance,Course: Financial Statements Made Easy. Category: Business Finance. Level: Beginner Level. Duration: 35 mins.,Beginner Level,35 mins,8095,5,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,[]
21,Winning Forex Trading with Live Forex Trading Examples,Udemy,Business Finance,Course: Winning Forex Trading with Live Forex Trading Examples. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,809,3,https://www.udemy.com/forexmacross/,[]
22,Forex Traders - Create Your First Trading Robot. No Coding!,Udemy,Business Finance,Course: Forex Traders - Create Your First Trading Robot. No Coding!. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,2295,5,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,[]
23,Create A Business From Home Trading Stocks Today In 2017,Udemy,Business Finance,Course: Create A Business From Home Trading Stocks Today In 2017. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,10149,5,https://www.udemy.com/work-from-home-buying-penny-stocks/,[]
24,Introduction to Accounting : Mastering Financial Statements,Udemy,Business Finance,Course: Introduction to Accounting : Mastering Financial Statements. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,1916,5,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,[]
25,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Udemy,Business Finance,Course: The Complete Ethereum Course: Get .01 Ether In Your Wallet. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,2507,5,https://www.udemy.com/ethereum/,[]
26,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Udemy,Business Finance,Course: Beginner to Pro in PowerPoint: Complete PowerPoint Training. Category: Business Finance. Level: All Levels. Duration: 5 hours.,All Levels,5 hours,5786,5,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,[]
27,Investing 101: The Complete Online Investing Course,Udemy,Business Finance,Course: Investing 101: The Complete Online Investing Course. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,5334,5,https://www.udemy.com/online-investing-guide/,[]
28,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Udemy,Business Finance,Course: Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager. Category: Business Finance. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,4005,5,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,[]
29,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Udemy,Business Finance,Course: Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5). Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,2877,5,https://www.udemy.com/learn-mql5/,[]
30,Forex Trading: Your Complete Guide to Get Started Like a Pro,Udemy,Business Finance,Course: Forex Trading: Your Complete Guide to Get Started Like a Pro. Category: Business Finance. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,1026,5,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,[]
31,Python Algo Stock Trading: Automate Your Trading!,Udemy,Business Finance,Course: Python Algo Stock Trading: Automate Your Trading!. Category: Business Finance. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,1165,5,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,[]
32,THE Forex Robot: Incredible ROI (Robot Included),Udemy,Business Finance,Course: THE Forex Robot: Incredible ROI (Robot Included). Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1843,5,https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,[]
33,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Udemy,Business Finance,Course: The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet. Category: Business Finance. Level: All Levels. Duration: 6.5 hours.,All Levels,6.5 hours,8797,5,https://www.udemy.com/bitcoin-for-beginners/,[]
34,Mastering High Probability Iron Condor Options Trading,Udemy,Business Finance,Course: Mastering High Probability Iron Condor Options Trading. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1030,5,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,[]
35,The Complete Short Course on Ethereum,Udemy,Business Finance,Course: The Complete Short Course on Ethereum. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1041,5,https://www.udemy.com/ethereum1/,[]
36,Options Trading Stocks: Proven Toolbox For Financial Success,Udemy,Business Finance,Course: Options Trading Stocks: Proven Toolbox For Financial Success. Category: Business Finance. Level: Intermediate Level. Duration: 10 hours.,Intermediate Level,10 hours,7884,5,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,[]
37,Forex Trading A-Z - With LIVE Examples of Forex Trading,Udemy,Business Finance,Course: Forex Trading A-Z - With LIVE Examples of Forex Trading. Category: Business Finance. Level: Beginner Level. Duration: 5.5 hours.,Beginner Level,5.5 hours,16900,5,https://www.udemy.com/forex-trading/,[]
38,"Introduction to Finance, Accounting, Modeling and Valuation",Udemy,Business Finance,"Course: Introduction to Finance, Accounting, Modeling and Valuation. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.",All Levels,4.5 hours,11441,5,https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,[]
39,Beginner to Pro in Excel: Financial Modeling and Valuation,Udemy,Business Finance,Course: Beginner to Pro in Excel: Financial Modeling and Valuation. Category: Business Finance. Level: All Levels. Duration: 7.5 hours.,All Levels,7.5 hours,22257,5,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,[]
40,The Complete Investment Banking Course 2017,Udemy,Business Finance,Course: The Complete Investment Banking Course 2017. Category: Business Finance. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,8575,5,https://www.udemy.com/the-complete-investment-banking-course-2016/,[]
41,The Complete Financial Analyst Course 2017,Udemy,Business Finance,Course: The Complete Financial Analyst Course 2017. Category: Business Finance. Level: All Levels. Duration: 10 hours.,All Levels,10 hours,24481,5,https://www.udemy.com/the-complete-financial-analyst-course/,[]
42,Python for Finance: Investment Fundamentals Data Analytics,Udemy,Business Finance,Course: Python for Finance: Investment Fundamentals Data Analytics. Category: Business Finance. Level: All Levels. Duration: 6.5 hours.,All Levels,6.5 hours,3811,5,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,[]
43,Financial Modeling for Startups Small Businesses,Udemy,Business Finance,Course: Financial Modeling for Startups Small Businesses. Category: Business Finance. Level: Beginner Level. Duration: 11.5 hours.,Beginner Level,11.5 hours,4991,5,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,[]
44,Options Trading - How to Win with Weekly Options,Udemy,Business Finance,Course: Options Trading - How to Win with Weekly Options. Category: Business Finance. Level: Intermediate Level. Duration: 1 hour.,Intermediate Level,1 hour,7489,5,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,[]
45,Black Algo Trading: Build Your Trading Robot,Udemy,Business Finance,Course: Black Algo Trading: Build Your Trading Robot. Category: Business Finance. Level: All Levels. Duration: 16 hours.,All Levels,16 hours,20195,5,https://www.udemy.com/build-your-trading-robot/,[]
46,Accounting Financial Statement Analysis: Complete Training,Udemy,Business Finance,Course: Accounting Financial Statement Analysis: Complete Training. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,10042,5,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,[]
47,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Udemy,Business Finance,Course: Cryptocurrency Trading: Complete Guide To Trading Altcoins. Category: Business Finance. Level: All Levels. Duration: 5 hours.,All Levels,5 hours,367,5,https://www.udemy.com/cryptocurrency-trading/,[]
48,Forex Robots: Expect To Earn 175 P.A. Forex Robot Included!,Udemy,Business Finance,Course: Forex Robots: Expect To Earn 175 P.A. Forex Robot Included!. Category: Business Finance. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,10603,5,https://www.udemy.com/backtesting/,[]
49,Three Steps Trading - Live Trading - Real Account,Udemy,Business Finance,Course: Three Steps Trading - Live Trading - Real Account. Category: Business Finance. Level: All Levels. Duration: 5 hours.,All Levels,5 hours,1197,5,https://www.udemy.com/three-steps-trading-live-trading-real-account/,[]
50,Option Trading for Rookies: Understand Options Completely,Udemy,Business Finance,Course: Option Trading for Rookies: Understand Options Completely. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,2893,5,https://www.udemy.com/complete-course-introduction-to-option-trading/,[]
51,How I Learned Stock Trading (and How You Can Too),Udemy,Business Finance,Course: How I Learned Stock Trading (and How You Can Too). Category: Business Finance. Level: Expert Level. Duration: 2 hours.,Expert Level,2 hours,1580,5,https://www.udemy.com/best-stock-traders/,[]
52,Learn to Trade for Profit: Find and Trade Winning Stocks,Udemy,Business Finance,Course: Learn to Trade for Profit: Find and Trade Winning Stocks. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,10605,5,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,[]
53,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Udemy,Business Finance,Course: Trading Inside Bars - Master 1 Easy Pattern To Be Successful. Category: Business Finance. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,2996,5,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,[]
54,Four Fundamentals of Financial Planning,Udemy,Business Finance,Course: Four Fundamentals of Financial Planning. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,6219,5,https://www.udemy.com/four-fundamentals-of-financial-planning/,[]
55,Options Trading - Calendar Spread Course for Every Trader,Udemy,Business Finance,Course: Options Trading - Calendar Spread Course for Every Trader. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1113,5,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,[]
56,Dividend Investing: Build Your Portfolio for a Better Future,Udemy,Business Finance,Course: Dividend Investing: Build Your Portfolio for a Better Future. Category: Business Finance. Level: Beginner Level. Duration: 4 hours.,Beginner Level,4 hours,8314,5,https://www.udemy.com/dividend-investing/,[]
57,Learn Accounting. Understand Business.,Udemy,Business Finance,Course: Learn Accounting. Understand Business.. Category: Business Finance. Level: Beginner Level. Duration: 5.5 hours.,Beginner Level,5.5 hours,5572,5,https://www.udemy.com/learn-accounting-understand-business/,[]
58,How to Consistently Win Trading Stocks in 30 Days or Less,Udemy,Business Finance,Course: How to Consistently Win Trading Stocks in 30 Days or Less. Category: Business Finance. Level: Intermediate Level. Duration: 1 hour.,Intermediate Level,1 hour,1433,5,https://www.udemy.com/winningstocktrades/,[]
59,A Beginner's Guide to Quantopian Futures API,Udemy,Business Finance,Course: A Beginner's Guide to Quantopian Futures API. Category: Business Finance. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,936,5,https://www.udemy.com/quantopian-futures/,[]
60,How to Buy Cheap Options - Options Trading Pricing Model,Udemy,Business Finance,Course: How to Buy Cheap Options - Options Trading Pricing Model. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,658,2,https://www.udemy.com/options-black-scholes-model/,[]
61,Excel Crash Course: Master Excel for Financial Analysis,Udemy,Business Finance,Course: Excel Crash Course: Master Excel for Financial Analysis. Category: Business Finance. Level: All Levels. Duration: 3.5 hours.,All Levels,3.5 hours,8121,5,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,[]
62,"Comprehensive Guide to Financial Markets, Investing Trading",Udemy,Business Finance,"Course: Comprehensive Guide to Financial Markets, Investing Trading. Category: Business Finance. Level: Beginner Level. Duration: 9 hours.",Beginner Level,9 hours,4187,5,https://www.udemy.com/financial-markets-a-to-z-for-beginners/,[]
63,Stock Trading Ninja: Complete System For Trading Success,Udemy,Business Finance,Course: Stock Trading Ninja: Complete System For Trading Success. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,9445,5,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,[]
64,Hedge and Mutual Fund Careers: The Complete Guide,Udemy,Business Finance,Course: Hedge and Mutual Fund Careers: The Complete Guide. Category: Business Finance. Level: All Levels. Duration: 8.5 hours.,All Levels,8.5 hours,3255,5,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,[]
65,Algorithmic Trading In Forex: Create Your First Forex Robot!,Udemy,Business Finance,Course: Algorithmic Trading In Forex: Create Your First Forex Robot!. Category: Business Finance. Level: All Levels. Duration: 6.5 hours.,All Levels,6.5 hours,7941,5,https://www.udemy.com/learn-mql4/,[]
66,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Udemy,Business Finance,Course: The Power Modeling Bootcamp: Advanced Excel in 10 Days. Category: Business Finance. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,1680,5,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,[]
67,Options Trading Basics (3-Course Bundle),Udemy,Business Finance,Course: Options Trading Basics (3-Course Bundle). Category: Business Finance. Level: Beginner Level. Duration: 11 hours.,Beginner Level,11 hours,10100,5,https://www.udemy.com/learn-options-trading-courses/,[]
68,How to Win 97 of Your Options Trades,Udemy,Business Finance,Course: How to Win 97 of Your Options Trades. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,5050,5,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,[]
69,How I Make Consistent Returns Trading Options,Udemy,Business Finance,Course: How I Make Consistent Returns Trading Options. Category: Business Finance. Level: All Levels. Duration: 3.5 hours.,All Levels,3.5 hours,2310,5,https://www.udemy.com/how-i-make-15-per-month-trading-options/,[]
70,"Forex Strategies: Kelly Criterion, Larry Williams and more!",Udemy,Business Finance,"Course: Forex Strategies: Kelly Criterion, Larry Williams and more!. Category: Business Finance. Level: All Levels. Duration: 3 hours.",All Levels,3 hours,5528,5,https://www.udemy.com/money-management/,[]
71,"Elite Trend Trader: Learn To Trade Stocks, Options Forex",Udemy,Business Finance,"Course: Elite Trend Trader: Learn To Trade Stocks, Options Forex. Category: Business Finance. Level: All Levels. Duration: 5 hours.",All Levels,5 hours,6451,5,https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,[]
72,Options Trading Introduction: Day Trade Stock Options,Udemy,Business Finance,Course: Options Trading Introduction: Day Trade Stock Options. Category: Business Finance. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,12394,5,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,[]
73,The Almost Perfect Options Trading Strategy System - Unique,Udemy,Business Finance,Course: The Almost Perfect Options Trading Strategy System - Unique. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,1793,5,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,[]
74,Forex Trading - Learn to Trade Forex Like the Banks,Udemy,Business Finance,Course: Forex Trading - Learn to Trade Forex Like the Banks. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,3223,5,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,[]
75,Learn to Trade for Profit:Trading with Japanese Candlesticks,Udemy,Business Finance,Course: Learn to Trade for Profit:Trading with Japanese Candlesticks. Category: Business Finance. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,16385,5,https://www.udemy.com/introduction-to-japanese-candlesticks/,[]
76,The Most Powerful Options Spread Trading Front Ratio Spread,Udemy,Business Finance,Course: The Most Powerful Options Spread Trading Front Ratio Spread. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1487,5,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,[]
77,What Finance Job is for You? Explanation of 14 Finance Roles,Udemy,Business Finance,Course: What Finance Job is for You? Explanation of 14 Finance Roles. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,2951,5,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,[]
78,The Blueprint for Successful Stock Trading,Udemy,Business Finance,Course: The Blueprint for Successful Stock Trading. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,2697,5,https://www.udemy.com/stock-market-millionaire-blueprint/,[]
79,Trading for Beginners - Intermediate Level,Udemy,Business Finance,Course: Trading for Beginners - Intermediate Level. Category: Business Finance. Level: Beginner Level. Duration: 5 hours.,Beginner Level,5 hours,3979,5,https://www.udemy.com/trading-for-beginners-tier-2/,[]
80,Start Trading Stocks Using Technical Analysis!,Udemy,Business Finance,Course: Start Trading Stocks Using Technical Analysis!. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,3190,5,https://www.udemy.com/professional-stock-trader/,[]
81,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Udemy,Business Finance,Course: Learn How to Set Up an Incubator Hedge Fund - Step-by-Step. Category: Business Finance. Level: Expert Level. Duration: 1.5 hours.,Expert Level,1.5 hours,1406,5,https://www.udemy.com/hedge-fund-startup/,[]
82,VPS for Forex Trading - Protect Your Forex Robots,Udemy,Business Finance,Course: VPS for Forex Trading - Protect Your Forex Robots. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,4252,5,https://www.udemy.com/forex-vps/,[]
83,Introduction to Accounting: The Language of Business,Udemy,Business Finance,Course: Introduction to Accounting: The Language of Business. Category: Business Finance. Level: Beginner Level. Duration: 11.5 hours.,Beginner Level,11.5 hours,11958,5,https://www.udemy.com/learnaccountingforfree/,[]
84,Basic Excel for Basic Bookkeeping and Accounting,Udemy,Business Finance,Course: Basic Excel for Basic Bookkeeping and Accounting. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,7743,5,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,[]
85,"Using 'The Greeks To Understand Options""",Udemy,Business Finance,"Course: Using 'The Greeks To Understand Options"". Category: Business Finance. Level: All Levels. Duration: 1 hour.",All Levels,1 hour,2134,5,https://www.udemy.com/options-greeks/,[]
86,Trading Options For Consistent Returns: Calendar Spreads,Udemy,Business Finance,Course: Trading Options For Consistent Returns: Calendar Spreads. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1214,5,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,[]
87,How to Create Your Personal Budget,Udemy,Business Finance,Course: How to Create Your Personal Budget. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,3870,5,https://www.udemy.com/personal-budget/,[]
88,The Complete Value Investing Course: A Proven Approach,Udemy,Business Finance,Course: The Complete Value Investing Course: A Proven Approach. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,2146,5,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,[]
89,FOREX Trading with Price Action,Udemy,Business Finance,Course: FOREX Trading with Price Action. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,484,5,https://www.udemy.com/forex-trading-system/,[]
90,Emini ES Futures - Advanced Non Directional Options Trading,Udemy,Business Finance,Course: Emini ES Futures - Advanced Non Directional Options Trading. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1057,5,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,[]
91,Forex Trading - Advanced Fundamental Analysis,Udemy,Business Finance,Course: Forex Trading - Advanced Fundamental Analysis. Category: Business Finance. Level: Intermediate Level. Duration: 2.5 hours.,Intermediate Level,2.5 hours,1754,5,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,[]
92,How To Invest With Tiny Capital In Stocks ?,Udemy,Business Finance,Course: How To Invest With Tiny Capital In Stocks ?. Category: Business Finance. Level: Beginner Level. Duration: 42 mins.,Beginner Level,42 mins,1239,5,https://www.udemy.com/howtoinvest5k/,[]
93,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Udemy,Business Finance,Course: Learn How To Successfully Trade Stocks: In 5 Simple Steps. Category: Business Finance. Level: All Levels. Duration: 9.5 hours.,All Levels,9.5 hours,2493,5,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,[]
94,Test your knowledge in Basics of Accounting,Udemy,Business Finance,Course: Test your knowledge in Basics of Accounting. Category: Business Finance. Level: Beginner Level. Duration: 218 questions.,Beginner Level,218 questions,1000,5,https://www.udemy.com/test-your-knowledge-in-basics-of-accounting/,[]
95,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Udemy,Business Finance,Course: Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader. Category: Business Finance. Level: Beginner Level. Duration: 5 hours.,Beginner Level,5 hours,2602,5,https://www.udemy.com/metatrader4/,[]
96,Test your Knowledge in Cost Accounting,Udemy,Business Finance,Course: Test your Knowledge in Cost Accounting. Category: Business Finance. Level: All Levels. Duration: 18 questions.,All Levels,18 questions,999,3,https://www.udemy.com/test-your-knowledge-in-cost-accounting/,[]
97,Intermediate Options trading concepts for Stocks and Options,Udemy,Business Finance,Course: Intermediate Options trading concepts for Stocks and Options. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,2000,5,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,[]
98,Options Trading 101: The Basics,Udemy,Business Finance,Course: Options Trading 101: The Basics. Category: Business Finance. Level: Beginner Level. Duration: 33 mins.,Beginner Level,33 mins,1514,5,https://www.udemy.com/options-trading-101-the-basics/,[]
99,Practical Accounts APP Overview,Udemy,Business Finance,Course: Practical Accounts APP Overview. Category: Business Finance. Level: Intermediate Level. Duration: 3 hours.,Intermediate Level,3 hours,1361,1,https://www.udemy.com/practical-accounts-app-overview/,[]
100,Bitcoin Profits for Beginners,Udemy,Business Finance,Course: Bitcoin Profits for Beginners. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,61,5,https://www.udemy.com/bitcoin-profits-for-beginners/,[]
101,Trend Traders Club: How To Find And Trade Fast Moving Trends,Udemy,Business Finance,Course: Trend Traders Club: How To Find And Trade Fast Moving Trends. Category: Business Finance. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,1513,5,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,[]
